Call Time & Date,Call Length (seconds),Transcript of Complaints,Neighborhood,Caller Phone Number
03/25/2023 10:15 AM,45,"There's graffiti all over the playground equipment at the park. It's an eyesore. Can someone clean this up?",Sunnyside,(555) 421-0098
03/25/2023 11:30 AM,30,"Hello again, it's still noisy at night from the bar on Main St. Can't sleep!"  ,Downtown,(555) 213-8754
03/25/2023 02:45 PM,60,"Hi, this is my third call this month about the potholes on Elm Street. It's dangerous for the cars and needs fixing.",Westwood,(555) 367-9922
03/25/2023 03:20 PM,90,"I'm calling to report a fallen tree blocking the sidewalk on my street. This needs to be cleared up soon, please.",Arbor Heights,(555) 787-0911
03/26/2023 09:00 AM,25,"The streetlight is out on the corner of 5th and Oak. It's very dark at night." ,Eastview,(555) 654-5587
03/26/2023 01:15 PM,120,"There is a group of teenagers who have been making a ton of noise after midnight around Pinecrest Road. I’ve asked them to keep it down, but it’s not helping.",Pinecrest,(555) 421-0098
03/26/2023 04:00 PM,35,"More vandalism at the park. They've sprayed graffiti over the new murals now. When will this stop?",Sunnyside,(555) 213-8754
03/27/2023 10:35 AM,55,"It's about the noise from the construction site by my house on 3rd Ave. They start too early in the morning. Isn’t there a noise ordinance?",Downtown,(555) 367-9922
03/27/2023 02:10 PM,80,"The potholes, remember? Elm Street. Right by the school. It's becoming a hazard to the school buses. Please, send someone to fix it.",Westwood,(555) 787-0911
03/27/2023 05:50 PM,110,"Yes, this is Jane from Arbor Heights. The street repairs on Main have been pending for weeks. The signs are up, but no work is being done. What’s the delay?",Arbor Heights,(555) 654-5587
03/28/2023 08:30 AM,40,"I've called before about the stray dogs in the neighborhood. They're knocking over trash bins. It's a real mess every morning. Can animal control come by?",Maple Grove,(555) 421-0098
03/28/2023 12:45 PM,70,"The new art installation downtown is constantly being defaced. It's such a shame. Can we get more patrols in the area?",Downtown,(555) 213-8754
03/28/2023 07:20 PM,50,"There’s a loud party on Larchmont Drive. They have been at it since noon. Isn't there a limit to how loud you can be?",Eastview,(555) 367-9922
03/29/2023 09:45 AM,95,"I'm tired of repeating myself. The sidewalks in our neighborhood are cracked and it's a trip hazard, especially on Oak Lane. When will the city address this?",Arbor Heights,(555) 787-0911
03/29/2023 03:15 PM,60,"The traffic lights at the intersection of Central and 8th aren’t working properly. It’s causing confusion. Someone needs to fix this ASAP.",Arbor Heights,(555) 654-5587
03/29/2023 04:20 PM,140,"Once more, this is Alice from Westwood, and the potholes are now more like craters on Willow Drive. It's just unacceptable and unsafe for the kids biking around.",Westwood,(555) 398-7741
03/29/2023 08:15 PM,45,"Hey, it's loud music blasting from the pub on 2nd Street. This happens every other night. Something needs to be done."                                ,Downtown,(555) 452-8899
03/29/2023 09:35 PM,65,"This is the fifth time I'm reporting loud teenagers in the alley by the gas station. It's way past 9 PM. Please help."                                ,Maple Grove,(555) 489-3592
03/29/2023 10:50 PM,30,"Some car alarms have been going off for the last hour here on Lakeside. It's incredibly disruptive."                                                   ,Lakeside,(555) 321-5678
03/29/2023 11:30 PM,70,"Okay, it's now every night. The noise from the night market on Vineyard is too much. Who permits these things?"                                        ,Eastview,(555) 678-9012
03/30/2023 12:15 AM,155,"I'm calling yet again about the vandalism at the community center on Park Ave. They've now ruined the entire wall mural dedicated to local heroes. We need surveillance cameras or something to stop this.",Sunnyside,(555) 901-2345
03/30/2023 12:45 AM,100,"It's loud parties every night this week at the frat house on Elm. We've got work in the morning, and this is not acceptable. Can the police patrol here at night?",Westwood,(555) 654-3210
03/30/2023 08:10 AM,50,"Hi, reporting a new pothole that opened up just outside the school gate on Maple Ave in Westwood. It's pretty big, and someone will get hurt if not fixed soon.",Westwood,(555) 778-9654
03/30/2023 09:45 AM,80,"There's more tagging on the benches at Oakwood park. We need to get this cleaned and maybe look into preventative measures."                           ,Oakwood,(555) 334-5566
03/30/2023 10:30 AM,35,"Pothole alert on Cedar Road, Westwood. Can we get some regular maintenance here?"                                                                      ,Westwood,(555) 112-2334
03/30/2023 01:50 PM,75,"It's Dave from Pinecrest again. The potholes are not getting any better. We need repairs on Rose Avenue before cars start to get damaged. What are my tax dollars going to?",Pinecrest,(555) 421-0098
03/30/2023 03:15 PM,180,"This vandalism is beyond tolerable. Our neighborhood signs have been defaced beyond recognition. This is a daily occurrence now. What is being done to find these individuals?",Arbor Heights,(555) 897-4563
03/30/2023 07:20 PM,40,"There's a sinkhole forming on Birch Street in Westwood. It's not safe, and kids play around that area. Please address this asap."                      ,Westwood,(555) 456-7890
03/30/2023 08:30 PM,55,"Bass thumping from a house party on Grove Street is rattling my windows. It's not even the weekend yet!"                                               ,Maple Grove,(555) 654-0987
03/30/2023 09:45 PM,110,"The noise from the construction at night on 5th is unbearable. I know the city has noise regulations, and they're clearly being violated. Please, send someone to enforce the noise code.",Downtown,(555) 234-5678
03/30/2023 11:55 PM,95,"Another sleepless night thanks to the bars on Waterfront. I'm considering moving at this point if the city can't manage noise control."                ,Lakeside,(555) 987-6543
03/31/2023 08:05 AM,120,"Morning, this is Samantha from Sunnyside. The statue at Central Square has been spray-painted with graffiti. This is a repeat incident. It's a disgrace and disheartening for all of us who work to keep our community clean.",Sunnyside,(555) 213-8754
03/31/2023 10:22 AM,130,"I need to report the condition of the public library walls in Oakwood. Vandals have covered it with graffiti. This is where our children come to learn, and the visual environment is important. We need a cleanup crew and possibly a watch guard.",Oakwood,(555) 543-2109
03/31/2023 12:50 PM,60,"Hey, we need some help with the potholes on Larch Street in Westwood. They're multiplying like rabbits. It's high time for some action from the city council.",Westwood,(555) 369-2587
03/31/2023 11:10 PM,50,"It's ridiculous how loud the cars are zooming down the street here in Pinecrest. It’s late, and they're disturbing the peace. Can't we have speed bumps or something?",Pinecrest,(555) 654-7890
"04/01/2023 07:45 AM",60,"It's Paul from Westwood. A pothole near the intersection of Oak and Pine has been getting worse. Please address it.",Westwood,"(555) 748-8512"
"04/01/2023 08:10 AM",110,"I’m tired of the graffiti on the underpass near Elm Street. It's an eyesore. When will the city clean this up?",Maple Grove,"(555) 622-4173"
"04/01/2023 09:25 AM",35,"The playground in Arbor Heights Park is covered in graffiti. Can we get a cleanup team here?",Arbor Heights,"(555) 368-4422"
"04/01/2023 10:05 AM",45,"Excessive noise from street performers in Central Plaza is disrupting our business. They're here every day.",Downtown,"(555) 739-2551"
"04/01/2023 11:40 AM",90,"There's vandalism at the bus stop on Main and 3rd. It's becoming a regular thing now.",Lakeside,"(555) 284-9371"
"04/01/2023 12:20 PM",120,"Every morning there's more trash and graffiti at the Lakeside Pavilion. We need regular patrols or cameras.",Lakeside,"(555) 593-8476"
"04/01/2023 01:55 PM",75,"Hello, this is Jerry, and the noise from the new construction site on 7th has been nonstop, even early in the morning.",Pinecrest,"(555) 948-2332"
"04/01/2023 02:20 PM",65,"There’s a large pothole on 3rd Street, just before the roundabout in Westwood. It's dangerous.",Westwood,"(555) 847-3651"
"04/01/2023 03:15 PM",130,"The noise from the ongoing street festival is unbearable. Isn't there a decibel limit?",Eastview,"(555) 742-9985"
"04/01/2023 04:45 PM",55,"I want to report illegally dumped trash in the alley behind Pike Street. It's attracting pests.",Oakwood,"(555) 192-8374"
"04/01/2023 05:50 PM",70,"Street repairs on 5th have been going on for weeks. The noise is constant. When will it end?",Downtown,"(555) 321-7654"
"04/01/2023 07:30 PM",80,"My name's Eric from Westwood, reporting a new pothole on Cedar that appeared after the rain last night.",Westwood,"(555) 678-4321"
"04/01/2023 08:45 PM",190,"The mural at Jefferson High was defaced with graffiti. It's a piece of community art and deserves respect.",Sunnyside,"(555) 832-5467"
